	Questions	Queries	Pairs	Masked Questions
10480	Which customer status code has least number of customers?	SELECT customer_status_code FROM Customers GROUP BY customer_status_code ORDER BY count(*) ASC LIMIT 1;	"/* Answer the following: Which customer status code has least number of customers? */
SELECT customer_status_code FROM Customers GROUP BY customer_status_code ORDER BY count(*) ASC LIMIT 1;
"	Which customer status code has least number of <mask>?
10481	What is the status code with the least number of customers?	SELECT customer_status_code FROM Customers GROUP BY customer_status_code ORDER BY count(*) ASC LIMIT 1;	"/* Answer the following: What is the status code with the least number of customers? */
SELECT customer_status_code FROM Customers GROUP BY customer_status_code ORDER BY count(*) ASC LIMIT 1;
"	What is the status code with the least number of <mask>?
10484	What is maximum, minimum and average amount of outstanding of customer?	SELECT max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) FROM Customers;	"/* Answer the following: What is maximum, minimum and average amount of outstanding of customer? */
SELECT max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) FROM Customers;
"	What is maximum, minimum and average amount of outstanding of customer?
10485	What is the maximum, minimum, and average amount of money outsanding for all customers?	SELECT max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) FROM Customers;	"/* Answer the following: What is the maximum, minimum, and average amount of money outsanding for all customers? */
SELECT max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) FROM Customers;
"	What is the maximum, minimum, and average amount of money outsanding for all <mask>?
10486	List the first name and last name of customers have the amount of outstanding between 1000 and 3000.	SELECT first_name ,  last_name FROM Customers WHERE amount_outstanding BETWEEN 1000 AND 3000;	"/* Answer the following: List the first name and last name of customers have the amount of outstanding between 1000 and 3000. */
SELECT first_name ,  last_name FROM Customers WHERE amount_outstanding BETWEEN 1000 AND 3000;
"	List the first name and last name of <mask> have the amount of outstanding between 1000 and 3000.
10487	What are the first and last names of all customers with between 1000 and 3000 dollars outstanding?	SELECT first_name ,  last_name FROM Customers WHERE amount_outstanding BETWEEN 1000 AND 3000;	"/* Answer the following: What are the first and last names of all customers with between 1000 and 3000 dollars outstanding? */
SELECT first_name ,  last_name FROM Customers WHERE amount_outstanding BETWEEN 1000 AND 3000;
"	What are the first and last names of all <mask> with between 1000 and 3000 dollars outstanding?
10498	List the number of customers that did not have any payment history.	SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payments );	"/* Answer the following: List the number of customers that did not have any payment history. */
SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payments );
"	List the number of <mask> that did not have any payment history.
10499	How many customers have no payment histories?	SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payments );	"/* Answer the following: How many customers have no payment histories? */
SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payments );
"	How many <mask> have no payment histories?
10502	List all payment methods and number of payments using each payment methods.	SELECT payment_method_code ,  count(*) FROM Customer_Payments GROUP BY payment_method_code;	"/* Answer the following: List all payment methods and number of payments using each payment methods. */
SELECT payment_method_code ,  count(*) FROM Customer_Payments GROUP BY payment_method_code;
"	List all payment methods and number of payments using each payment methods.
10503	For each payment method, how many payments were made?	SELECT payment_method_code ,  count(*) FROM Customer_Payments GROUP BY payment_method_code;	"/* Answer the following: For each payment method, how many payments were made? */
SELECT payment_method_code ,  count(*) FROM Customer_Payments GROUP BY payment_method_code;
"	For each payment method, how many payments were made?
10504	How many lessons were in cancelled state?	"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";"	"/* Answer the following: How many lessons were in cancelled state? */
SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";
"	How many <mask> were in <mask> state?
10505	How many lessons have been cancelled?	"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";"	"/* Answer the following: How many lessons have been cancelled? */
SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";
"	How many <mask> have been <mask>?
10516	Which last names are both used by customers and by staff?	SELECT last_name FROM Customers INTERSECT SELECT last_name FROM Staff	"/* Answer the following: Which last names are both used by customers and by staff? */
SELECT last_name FROM Customers INTERSECT SELECT last_name FROM Staff
"	Which last names are both used by <mask> and by <mask>?
10517	What are the last names that are used by customers and staff?	SELECT last_name FROM Customers INTERSECT SELECT last_name FROM Staff	"/* Answer the following: What are the last names that are used by customers and staff? */
SELECT last_name FROM Customers INTERSECT SELECT last_name FROM Staff
"	What are the last names that are used by <mask> and <mask>?
10521	How many faculty do we have?	SELECT count(*) FROM Faculty	"/* Answer the following: How many faculty do we have? */
SELECT count(*) FROM Faculty
"	How many <mask> do we have?
10522	What is the total number of faculty members?	SELECT count(*) FROM Faculty	"/* Answer the following: What is the total number of faculty members? */
SELECT count(*) FROM Faculty
"	What is the total number of <mask> members?
10523	What ranks do we have for faculty?	SELECT DISTINCT rank FROM Faculty	"/* Answer the following: What ranks do we have for faculty? */
SELECT DISTINCT rank FROM Faculty
"	What <mask> do we have for <mask>?
10524	Find the list of distinct ranks for faculty.	SELECT DISTINCT rank FROM Faculty	"/* Answer the following: Find the list of distinct ranks for faculty. */
SELECT DISTINCT rank FROM Faculty
"	Find the list of distinct <mask> for <mask>.
10525	Show all the distinct buildings that have faculty rooms.	SELECT DISTINCT building FROM Faculty	"/* Answer the following: Show all the distinct buildings that have faculty rooms. */
SELECT DISTINCT building FROM Faculty
"	Show all the distinct <mask> that have <mask> rooms.
10526	What buildings have faculty offices?	SELECT DISTINCT building FROM Faculty	"/* Answer the following: What buildings have faculty offices? */
SELECT DISTINCT building FROM Faculty
"	What <mask> have <mask> offices?
10527	Show the rank, first name, and last name for all the faculty.	SELECT rank ,  Fname ,  Lname FROM Faculty	"/* Answer the following: Show the rank, first name, and last name for all the faculty. */
SELECT rank ,  Fname ,  Lname FROM Faculty
"	Show the <mask>, first name, and last name for all the <mask>.
10528	What are the rank, first name, and last name of the faculty members?	SELECT rank ,  Fname ,  Lname FROM Faculty	"/* Answer the following: What are the rank, first name, and last name of the faculty members? */
SELECT rank ,  Fname ,  Lname FROM Faculty
"	What are the <mask>, first name, and last name of the <mask> members?
10529	Show the first name, last name, and phone number for all female faculty members.	SELECT Fname ,  Lname ,  phone FROM Faculty WHERE Sex  =  'F'	"/* Answer the following: Show the first name, last name, and phone number for all female faculty members. */
SELECT Fname ,  Lname ,  phone FROM Faculty WHERE Sex  =  'F'
"	Show the first name, last name, and <mask> number for all female <mask> members.
10530	What are the first name, last name, and phone number of all the female faculty members?	SELECT Fname ,  Lname ,  phone FROM Faculty WHERE Sex  =  'F'	"/* Answer the following: What are the first name, last name, and phone number of all the female faculty members? */
SELECT Fname ,  Lname ,  phone FROM Faculty WHERE Sex  =  'F'
"	What are the first name, last name, and <mask> number of all the female <mask> members?
10531	Show ids for all the male faculty.	SELECT FacID FROM Faculty WHERE Sex  =  'M'	"/* Answer the following: Show ids for all the male faculty. */
SELECT FacID FROM Faculty WHERE Sex  =  'M'
"	Show ids for all the male <mask>.
10532	What are the faculty ids of all the male faculty members?	SELECT FacID FROM Faculty WHERE Sex  =  'M'	"/* Answer the following: What are the faculty ids of all the male faculty members? */
SELECT FacID FROM Faculty WHERE Sex  =  'M'
"	What are the <mask> ids of all the male <mask> members?
10533	How many female Professors do we have?	"SELECT count(*) FROM Faculty WHERE Sex  =  'F' AND Rank  =  ""Professor"""	"/* Answer the following: How many female Professors do we have? */
SELECT count(*) FROM Faculty WHERE Sex  =  'F' AND Rank  =  ""Professor""
"	How many female <mask> do we have?
10534	Count the number of female Professors we have.	"SELECT count(*) FROM Faculty WHERE Sex  =  'F' AND Rank  =  ""Professor"""	"/* Answer the following: Count the number of female Professors we have. */
SELECT count(*) FROM Faculty WHERE Sex  =  'F' AND Rank  =  ""Professor""
"	<mask> the number of female <mask> we have.
10535	Show the phone, room, and building for the faculty named Jerry Prince.	"SELECT phone ,  room ,  building FROM Faculty WHERE Fname  =  ""Jerry"" AND Lname  =  ""Prince"""	"/* Answer the following: Show the phone, room, and building for the faculty named Jerry Prince. */
SELECT phone ,  room ,  building FROM Faculty WHERE Fname  =  ""Jerry"" AND Lname  =  ""Prince""
"	Show the <mask>, <mask>, and <mask> for the <mask> named <mask> <mask>.
10536	What are the phone, room, and building of the faculty member called Jerry Prince?	"SELECT phone ,  room ,  building FROM Faculty WHERE Fname  =  ""Jerry"" AND Lname  =  ""Prince"""	"/* Answer the following: What are the phone, room, and building of the faculty member called Jerry Prince? */
SELECT phone ,  room ,  building FROM Faculty WHERE Fname  =  ""Jerry"" AND Lname  =  ""Prince""
"	What are the <mask>, <mask>, and <mask> of the <mask> member called <mask> <mask>?
10537	How many Professors are in building NEB?	"SELECT count(*) FROM Faculty WHERE Rank  =  ""Professor"" AND building  =  ""NEB"""	"/* Answer the following: How many Professors are in building NEB? */
SELECT count(*) FROM Faculty WHERE Rank  =  ""Professor"" AND building  =  ""NEB""
"	How many <mask> are in <mask> NEB?
